Ads,Respondent.ID,Age,SOCIALNETWORKS,SOCIALUSAGE,ENJOYMENT,ACTIVE.INVOLVEMENT,,,BRANDING,WATCHSKIP,STOPLOOK,AD_DISTINCT,LIKES_STD,DISLIKES_STD,UNDERSTANDING,RELEVANCE,Women.And.Girls.Should.Feel.Empowered.To.Protect.Themselves.From.HIV.Message.Check,Dating.Apps.Don’t.Predict.The.Future.Message.Check,Don't.Be.Fooled.Message.Check,Wear.Fearlessness.With.Pride.Message.Check,My.Body.My.Rules.Message.Check,We.Don’t.Deserve.To.Be.Infected.By.HIV.Message.Check,CREDIBILITY,NEW_INFORMATION,BRANDDIFFERENCE,MEETSNEEDS,DYNAMIC,MYKINDAD,I.Think.Highly.Of.The.Way.Women.Are.Presented.In.The.Ad..GENDERPORTRAYAL1,Women.Are.Presented.In.A.Respectful.Manner.In.The.Ad.GENDERPORTRAYAL1,It.Is.Inappropriate.How.Women.Are.Featured.In.The.Ad.GENDERPORTRAYAL1,Women.Are.Presented.In.The.Ad.In.A.Manner.Where.They.Can.Be.Seen.As.Good.Role.Models.For.Other.Women.And.Young.Girls.GENDERPORTRAYAL1,This.Advertising.Presents.A.Positive.Image.Of.The.Female.Characters.That.Sets.A.Good.Example.For.Others.GENDERPORTRAYAL1,Category.Distinctiveness,Mood.and.tone,.HIV.Prevention.Persuasion.1,.HIV.Prevention.Persuasion.2,Climate.Change..:.ISSUE,Drug.Usage.Amongst.Young.People..:.ISSUE,Having.A.Healthier.Lifestyle..:.ISSUE,Making.Your.Neighbourhood.A.Safer.Place..:.ISSUE,Reducing.Road.Accidents..:.ISSUE,The.Amount.Of.Alcohol.Consumed.By.People..:.ISSUE,The.Effects.Of.Smoking.And.Passive.Smoking..:.ISSUE,Crime.Prevention..:.ISSUE,Unemployment.Or.Job.Security..:.ISSUE,Gender-based.Violence..:.ISSUE,HIV.Prevention..:.ISSUE,I.Choose.To.Abstain.From.Sex.And.Remain.A.Virgin..:.Value.Segments,I.Am.Confident.Enough.To.Insist.On.Using.A.Condom.When.Having.Sex..:.Value.Segments,I.Occasionally.Have.One.Night.Stands.With.People.I.Don't.Know.Well..:.Value.Segments,I.Use.Home.Remedies.To.Protect.Myself.From.Contracting.HIV/.Aids.Before.Or.After.Having.Sex..:.Value.Segments,My.Family.Does.Not.Allow.Me.To.Have.A.Boyfriend..:.Value.Segments,Friends/family.Often.Insult.Me.Or.Deliberately.Make.Me.Feel.Bad.About.Myself..:.Value.Segments,I.Am.Comfortable.Having.Sex.With.More.Than.One.Partner..:.Value.Segments,I.Am.Comfortable.To.Having.Sex.With.An.Older.Man.In.Exchange.For.Looking.After.My.Financial.Needs..:.Value.Segments,My.Family.Is.Very.Protective.Over.Me.And.My.General.Well.Being..:.Value.Segments,I.Am.Highly.Influenced.By.What.Other.People.Tell.Me.In.General..:.Value.Segments,Segment.Questions,Motherhood..:.Interest,Parenting..:.Interest,Reading..:.Interest,Word.Games..:.Interest,Charities.And.Causes..:.Interest,Vacations..:.Interest,Live.Events..:.Interest,Adventure.Travel..:.Interest,Ethnic.Group,(VIRALPASSALONG).VIRAL.PASS.ALONG,ATTRACTED..:.Numeric.Emotions,EXCITED..:.Numeric.Emotions,CONFIDENT..:.Numeric.Emotions,CONTENTED..:.Numeric.Emotions,AFFECTIONATE..:.Numeric.Emotions,SURPRISED..:.Numeric.Emotions,PROUD..:.Numeric.Emotions,INSPIRED..:.Numeric.Emotions,REPELLED..:.Numeric.Emotions,INADEQUATE..:.Numeric.Emotions,SAD..:.Numeric.Emotions,ANNOYED..:.Numeric.Emotions,HATRED..:.Numeric.Emotions,DISAPPOINTED..:.Numeric.Emotions,GUILTY..:.Numeric.Emotions,UNIMPRESSED..:.Numeric.Emotions,I.Think.Highly.Of.The.Way.Men.Are.Presented.In.The.Ad..:.(GENDERPORTRAYAL2).MALE.GENDER.PORTRAYAL,Men.Are.Presented.In.A.Respectful.Manner.In.The.Ad..:.(GENDERPORTRAYAL2).MALE.GENDER.PORTRAYAL,It.Is.Inappropriate.How.Men.Are.Featured.In.The.Ad..:.(GENDERPORTRAYAL2).MALE.GENDER.PORTRAYAL,Men.Are.Presented.In.The.Ad.In.A.Manner.Where.They.Can.Be.Seen.As.Good.Role.Models.For.Other.Men.And.Young.Boys..:.(GENDERPORTRAYAL2).MALE.GENDER.PORTRAYAL,Men.Are.Presented.In.The.Ad.In.A.Manner.Where.They.Can.Be.Seen.As.Good.Role.Models.For.Other.Men.And.Young.Boys..:.(GENDERPORTRAYAL2).MALE.GENDER.PORTRAYAL
Dating Apps,GEN24_02d0f7c1-8fa3-fa1a-3c12-c0fbb5cdb33b,21,"Facebook,Instagram,Snapchat,Pinterest,YouTube,WhatsApp",Once a day,5,Interesting,Distinctive,Involving,(4) It is quite good at making you remember it is for HIV PREVENTION,Watch it ,null,(4) Very different to any other advertising,Informative and interactive,null,(4) Very easy,(4) Very relevant,(4) Very likely,(4) Very likely,,,,,(5) 5,(4) A lot of new information,(5) 5,(5) 5,(5) 5,(4) 4,5,5,2,5,5,Very different to any other advertising for HIV Prevention awareness,"Empowering,Genuine,Assertive,Convincing,Reassuring",I try to be aware of HIV PREVENTION issues,Makes me much more likely to BEHAVE / TAKE ACTION ON WHAT THE AD IS TRYING TO ENCOURAGE,4,4,3,4,4,3,4,4,4,4,4,3,2,1,2,1,1,2,1,4,1,PROTECTION SAVVY,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Black,Definitely,10,8,8,8,9,8,9,8,3,2,2,2,2,2,2,2,5,5,2,5,5
Dating Apps,GEN24_cafb1d46-ee60-100d-1795-2ad07d4f5e8e,24,"Facebook,Instagram,Twitter,WhatsApp",4+ times per day,5,Interesting,Distinctive,Involving,(4) It is quite good at making you remember it is for HIV PREVENTION,Watch it ,null,(4) Very different to any other advertising,the brutal honesty,null,(4) Very easy,(4) Very relevant,(4) Very likely,(2) Probably wouldn't,,,,,(4) 4,(4) A lot of new information,(5) 5,(5) 5,(4) 4,(5) 5,5,4,1,5,5,Very different to any other advertising for HIV Prevention awareness,"Positive,Empowering,Refreshing,Original,Genuine,Honest,Modern",I’m very aware of HIV PREVENTION issues,Makes me much more likely to BEHAVE / TAKE ACTION ON WHAT THE AD IS TRYING TO ENCOURAGE,4,4,4,4,3,4,3,4,4,2,4,5,5,2,1,1,2,5,1,5,1,RESPONSIBLE MOM,A lot,A lot,A lot,A lot,A little,A little,A lot,A lot,Black,Definitely,9,9,8,10,9,10,8,9,1,0,0,1,0,0,0,0,4,5,4,5,5
Dating Apps,GEN24_e8baa92f-d1e3-a473-56fc-9e91c6eeeddd,23,"Facebook,Instagram,Snapchat,Twitter,Pinterest,LinkedIn,YouTube,WhatsApp,Tumblr",4+ times per day,5,Interesting,Soothing,Gentle,(5) You couldn't fail to remember it was for HIV PREVENTION,null,(4) Definitely,(4) Very different to any other advertising,How the man understood the STI details,null,(4) Very easy,(4) Very relevant,(4) Very likely,(4) Very likely,,,,,(5) 5,(4) A lot of new information,(5) 5,(5) 5,(5) 5,(5) 5,5,5,1,5,5,Very different to any other advertising for HIV Prevention awareness,"Original,Genuine,Honest,Positive,Modern",I’m very aware of HIV PREVENTION issues,Makes me much more likely to BEHAVE / TAKE ACTION ON WHAT THE AD IS TRYING TO ENCOURAGE,4,4,4,4,4,4,4,4,4,4,4,5,5,1,2,5,3,1,1,5,5,CONSERVATIVE SURVIVALIST,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Black,Definitely,9,10,10,10,8,10,6,7,1,0,0,0,2,0,0,0,5,5,1,5,5
Dating Apps,GEN24_9d7fb14b-afc2-bc06-9398-865440ed87bb,22,"Facebook,Instagram,Twitter,LinkedIn,WhatsApp",4+ times per day,4,Interesting,Distinctive,Gentle,(4) It is quite good at making you remember it is for HIV PREVENTION,null,(4) Definitely,(4) Very different to any other advertising,I liked how it explained different phrases that immediately reminded me of HIV,null,(4) Very easy,(3) Quite relevant,(3) Quite likely,(2) Probably wouldn't,,,,,(4) 4,(2) No new information,(4) 4,(4) 4,3,(4) 4,3,4,2,4,4,Quite different to any other advertising for HIV Prevention awareness,"Assertive,Honest,Convincing",I’m very aware of HIV PREVENTION issues,Makes me much more likely to BEHAVE / TAKE ACTION ON WHAT THE AD IS TRYING TO ENCOURAGE,3,4,3,4,3,2,2,4,4,4,4,0,5,1,1,1,1,1,1,4,3,CONSERVATIVE SURVIVALIST,Not at all,Not at all,A lot,A lot,A little,A little,A lot,A little,Black,Possibly,1,3,6,8,2,3,9,7,1,3,1,1,0,2,0,3,4,3,2,4,4
Dating Apps,GEN24_f01dbdea-d5d7-8000-e439-8a36c6e9de19,24,"Facebook,Instagram,Snapchat,Twitter,Pinterest,LinkedIn,YouTube,WhatsApp,Tumblr",4+ times per day,3,Interesting,Soothing,Involving,(4) It is quite good at making you remember it is for HIV PREVENTION,null,(4) Definitely,(3) Quite different to any other advertising,They spoke about the stigmas people experience,null,(3) Quite easy,(3) Quite relevant,(4) Very likely,(3) Quite likely,,,,,(5) 5,(3) Some new information,(4) 4,(4) 4,(5) 5,(4) 4,5,5,5,4,5,Quite different to any other advertising for HIV Prevention awareness,"Honest,Edgy,Empowering,Positive,Convincing,Imaginative,Refreshing,Modern,Reassuring,Genuine",I’m very aware of HIV PREVENTION issues,Makes me much more likely to BEHAVE / TAKE ACTION ON WHAT THE AD IS TRYING TO ENCOURAGE,3,4,3,4,3,3,3,4,4,4,3,2,4,2,2,2,3,4,1,4,3,CONSERVATIVE SURVIVALIST,A little,A little,A lot,A lot,A lot,A lot,A lot,A lot,Coloured,Definitely,6,6,6,7,6,2,8,7,0,1,1,0,0,0,0,0,5,5,1,5,5
Dating Apps,GEN24_fd342a58-d446-e442-658b-1d1f498ca6aa,23,"Facebook,Instagram,Snapchat,Pinterest,YouTube,WhatsApp,Other",4+ times per day,3,Interesting,Soothing,Gentle,(4) It is quite good at making you remember it is for HIV PREVENTION,null,(3) Probably,(3) Quite different to any other advertising,I liked the information and how it is explained,null,(4) Very easy,(4) Very relevant,(4) Very likely,(1) Definitely wouldn't,,,,,(4) 4,(3) Some new information,3,3,3,3,3,3,3,4,3,Quite different to any other advertising for HIV Prevention awareness,"Positive,Genuine,Refreshing,Empowering,Modern",I’m very aware of HIV PREVENTION issues,Makes me much more likely to BEHAVE / TAKE ACTION ON WHAT THE AD IS TRYING TO ENCOURAGE,4,4,4,4,4,4,4,4,4,4,4,3,5,1,3,2,1,2,1,5,1,CONSERVATIVE SURVIVALIST,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Black,Definitely,8,8,8,9,7,4,6,9,0,0,4,0,0,0,0,0,3,3,3,3,3
Dating Apps,GEN24_adfa93e1-f9b9-7153-0532-a4d173a66219,20,"Facebook,Instagram,Snapchat,Twitter,Pinterest,YouTube,WhatsApp",4+ times per day,4,Interesting,Distinctive,Weak,(3) It is not all that good at making you remember it is for HIV PREVENTION,Watch it ,null,(3) Quite different to any other advertising,It was very straight foward,The words went by too quickly,(3) Quite easy,(2) Not very relevant,(2) Probably wouldn't,(1) Definitely wouldn't,,,,,3,(2) No new information,(4) 4,(4) 4,(2) Dis4,(1) Dis5,3,2,2,3,3,Very different to any other advertising for HIV Prevention awareness,"Modern,Edgy,Original,Honest",I’m very aware of HIV PREVENTION issues,Makes me much more likely to BEHAVE / TAKE ACTION ON WHAT THE AD IS TRYING TO ENCOURAGE,3,3,4,4,4,3,4,4,4,4,4,2,5,2,1,1,2,1,1,5,1,CONSERVATIVE SURVIVALIST,Not at all,Not at all,A little,A lot,A lot,A little,A little,A lot,Black,No,6,4,2,3,4,4,3,5,10,10,5,6,0,5,0,7,2,2,4,2,2
Dating Apps,GEN24_a4cc1fcb-3703-122c-2018-28e7cfed0b3b,24,"Facebook,Instagram,WhatsApp",4+ times per day,5,Interesting,Distinctive,Involving,(5) You couldn't fail to remember it was for HIV PREVENTION,null,(4) Definitely,(4) Very different to any other advertising,Very direct,null,(4) Very easy,(4) Very relevant,(4) Very likely,(4) Very likely,,,,,(5) 5,(4) A lot of new information,(5) 5,(5) 5,(5) 5,3,5,5,1,5,5,Very different to any other advertising for HIV Prevention awareness,"Honest,Genuine,Sexy,Modern,Empowering,Refreshing,Positive,Convincing,Edgy,Imaginative,Assertive,Reassuring",I’m very aware of HIV PREVENTION issues,Makes me much more likely to BEHAVE / TAKE ACTION ON WHAT THE AD IS TRYING TO ENCOURAGE,4,4,4,4,4,4,4,4,4,4,4,2,5,2,1,1,2,2,1,4,1,RESPONSIBLE MOM,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Coloured,Definitely,7,6,10,7,8,0,7,8,7,3,3,1,3,3,4,10,5,5,1,5,5
Dating Apps,GEN24_afd4c208-5437-cfc3-38db-f5ffe818dbfa,23,"Facebook,Instagram,Snapchat,Twitter,Pinterest,LinkedIn,YouTube,WhatsApp",A few times per week,3,Pleasant,Distinctive,Gentle,(4) It is quite good at making you remember it is for HIV PREVENTION,null,(3) Probably,(4) Very different to any other advertising,It was involving,null,(3) Quite easy,(3) Quite relevant,(4) Very likely,(3) Quite likely,,,,,(4) 4,(2) No new information,(4) 4,(4) 4,3,(4) 4,5,5,5,5,5,Very different to any other advertising for HIV Prevention awareness,"Honest,Empowering,Convincing,Positive,Assertive,Genuine,Original,Modern",I’m very aware of HIV PREVENTION issues,Makes me a little more likely to try to BEHAVE / TAKE ACTION ON WHAT THE AD IS TRYING TO ENCOURAGE,4,4,4,4,4,3,4,4,4,4,4,2,4,1,1,4,2,1,1,4,3,CONSERVATIVE SURVIVALIST,Not at all,A little,A lot,A lot,A little,A lot,Not at all,A little,Black,Possibly,6,6,7,5,7,1,2,6,0,0,0,0,0,2,0,0,5,5,5,5,5
Dating Apps,GEN24_865d2255-2f46-2f68-b186-1576cb4f03a5,23,"Facebook,Instagram,Snapchat,Pinterest,LinkedIn,YouTube,WhatsApp",4+ times per day,5,Interesting,Distinctive,Involving,(5) You couldn't fail to remember it was for HIV PREVENTION,Watch it ,null,(4) Very different to any other advertising,How real and current the advert is,null,(4) Very easy,(4) Very relevant,(4) Very likely,(3) Quite likely,,,,,(5) 5,(3) Some new information,(4) 4,(5) 5,(4) 4,(4) 4,4,5,4,4,4,Quite different to any other advertising for HIV Prevention awareness,"Modern,Honest,Convincing",I’m very aware of HIV PREVENTION issues,Makes me much more likely to BEHAVE / TAKE ACTION ON WHAT THE AD IS TRYING TO ENCOURAGE,3,3,4,4,2,1,2,3,3,4,4,1,5,1,1,2,1,1,1,4,2,CONSERVATIVE SURVIVALIST,Not at all,Not at all,A little,A lot,A lot,A lot,A little,A lot,Black,Definitely,9,9,9,10,10,9,10,10,0,0,1,0,0,0,0,0,4,3,4,2,2
